"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","4,065.34","3,006.59","1,058.75","26.04%","2.69","1,511.28","3"
"ELP PROP","SOMERSET WOOD","3,747.33","2,745.50","1,001.83","26.73%","5.70","658.00","5"
"FLOORED LLC","MANN. ADURA LUXURY TILE","3,361.26","2,729.46","631.80","18.80%","2.43","1,381.20","6"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","2,997.70","2,357.38","640.32","21.36%","2.75","1,091.36","9"
"ELP PROP","MANN. ADURA LUXURY TILE","2,723.29","2,230.80","492.49","18.08%","2.87","948.96","2"
"S.J. NEATHAWK LBR CO INC","SUREPLY AND REVOLUTIONS","2,465.00","1,988.00","477.00","19.35%","24.65","100.00","2"
"THE FLOOR SHOW INC","SOMERSET WOOD","1,907.01","1,441.00","466.01","24.44%","6.07","314.00","4"
"FLOORED LLC","SOMERSET WOOD","1,816.50","1,452.50","364.00","20.04%","5.19","350.00","1"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","1,794.00","1,096.80","697.20","38.86%","3.25","552.00","7"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","1,652.28","1,240.58","411.70","24.92%","2.79","592.21","10"
"B & B MACHINE TOOL INC","MANN. ADURA LUXURY TILE","1,401.47","812.84","588.63","42.00%","200.21","7.00","3"
"CARPETLAND USA-RKE SOUTH","RESPONSIVE INDUSTRIES","1,378.96","1,008.43","370.53","26.87%","2.25","611.58","3"
"CARPETLAND USA-RKE SOUTH","PAD FUTURE FOAM","1,368.00","1,044.00","324.00","23.68%","3.04","450.00","2"
"MILLS FLOOR COVERING LLC","MANN. ADURA LUXURY TILE","1,292.81","951.59","341.22","26.39%","2.69","480.60","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","1,266.30","881.70","384.60","30.37%","2.22","570.00","3"
"CARPETLAND USA OF","MANN. RESIDENTIAL VINYL","1,210.80","884.55","326.25","26.94%","2.75","441.00","8"
"SPENCER HOME CENTER INC","TITEBOND","1,206.00","765.81","440.19","36.50%","134.00","9.00","1"
"BY DESIGN INTERIORS LLC","BJELIN","1,171.78","844.00","327.78","27.97%","4.29","273.14","2"
"WOOD PLUS HARDWOOD FLRG","MANN. WOOD","1,167.00","917.48","249.52","21.38%","4.49","259.91","2"
"BLUE RIDGE FLOORS INC","RESPONSIVE INDUSTRIES","1,144.14","702.39","441.75","38.61%","2.59","441.75","2"
"CARPETLAND USA OF","PAD FUTURE FOAM","1,104.00","867.00","237.00","21.47%","1.84","600.00","3"
"CARPET VILLAGE","PAD CARPENTER COMPANY","1,102.50","937.50","165.00","14.97%","1.47","750.00","1"
"CARPETLAND USA OF ROANOKE","SOMERSET WOOD","1,038.00","830.00","208.00","20.04%","5.19","200.00","1"
"FLOORED LLC","SUREPLY AND REVOLUTIONS","1,036.50","888.00","148.50","14.33%","20.73","50.00","1"
"FLOORED LLC","PAD CARPENTER COMPANY","1,005.00","810.00","195.00","19.40%","1.68","600.00","2"
"J W SQUIRE CO","PAD CARPENTER COMPANY","955.50","628.50","327.00","34.22%","2.12","450.00","3"
"FLOORED LLC","NORTH STAR FLOORING","931.38","675.92","255.46","27.43%","2.38","391.24","3"
"FASHION FLRS OF ROANOKE","PAD FUTURE FOAM","567.00","357.00","210.00","37.04%","1.89","300.00","2"
"FAYETTE AWNING & GLASS","PAD CARPENTER COMPANY","555.00","435.00","120.00","21.62%","1.85","300.00","1"
"THE HOUSE OF CARPETS INC","PAD FUTURE FOAM","555.00","432.00","123.00","22.16%","1.85","300.00","1"
"CARPET VILLAGE","PAD FUTURE FOAM","529.50","402.00","127.50","24.08%","1.77","300.00","2"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","499.50","411.60","87.90","17.60%","1.85","270.00","2"
"THE CPT SHOP OF ROANOKE","MANN. ADURA LUXURY TILE","494.64","406.08","88.56","17.90%","2.29","216.00","1"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","478.23","380.46","97.77","20.44%","2.86","167.32","2"
"NEWCOMB CARPET INC","MANN. ADURA LUXURY TILE","476.61","350.82","125.79","26.39%","2.69","177.18","1"
"CENTRAL VA FLOORING","BURKE-MERCER","474.00","354.00","120.00","25.32%","0.79","600.00","1"
"CENTRAL VA FLOORING","MANN. RESIDENTIAL VINYL","459.54","308.58","150.96","32.85%","2.07","222.00","1"
"S.J. NEATHAWK LBR CO INC","MANN. RESIDENTIAL VINYL","443.96","316.24","127.72","28.77%","2.92","152.04","1"
"J W SQUIRE CO","MANN. ADURA LUXURY TILE","431.10","357.57","73.53","17.06%","2.99","144.18","2"
"FARMVILLE FLOORING LLC","PAD FUTURE FOAM","394.80","315.60","79.20","20.06%","1.65","240.00","2"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","303.67","243.10","60.57","19.95%","3.61","84.12","2"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","282.43","227.67","54.76","19.39%","2.94","96.06","2"
"CARPETLAND USA OF ROANOKE","MANN. RESIDENTIAL VINYL","248.46","195.57","52.89","21.29%","2.02","123.00","2"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","223.60","166.00","57.60","25.76%","5.59","40.00","1"
"FLOORED LLC","LAUZON WOOD","218.84","131.30","87.54","40.00%","109.42","2.00","1"
"SPENCER HOME CENTER INC","BURKE-MERCER","189.00","141.00","48.00","25.40%","0.63","300.00","1"
"FASHION FLRS OF ROANOKE","MANN. RESIDENTIAL VINYL","178.04","101.50","76.54","42.99%","44.51","4.00","2"
"THE FLOOR SHOW INC","MANN. LAMINATE FLOORING","177.11","115.26","61.85","34.92%","35.42","5.00","4"
"CENTRAL VA FLOORING","DIVERSIFIED INDUSTRIES","167.94","130.20","37.74","22.47%","27.99","6.00","1"
"BLUE RIDGE FLOORS INC","MANN. RESIDENTIAL VINYL","157.68","112.32","45.36","28.77%","2.92","54.00","1"
"FASHION FLRS OF ROANOKE","DIVERSIFIED INDUSTRIES","139.95","108.50","31.45","22.47%","27.99","5.00","1"
"CENTRAL VA FLOORING","SOMERSET WOOD","129.75","96.25","33.50","25.82%","5.19","25.00","1"
"SPENCER HOME CENTER INC","BJELIN","118.56","98.33","20.23","17.06%","5.90","20.11","3"
"THE WHITT GROUP, INC","MANN. WOOD","115.71","94.83","20.88","18.05%","4.49","25.77","1"
"BY DESIGN INTERIORS LLC","MANN. ADURA LUXURY TILE","89.90","52.14","37.76","42.00%","44.95","2.00","2"
"BLUE RIDGE FLOORS INC","DIVERSIFIED INDUSTRIES","60.98","47.50","13.48","22.11%","30.49","2.00","1"
"THE WHITT GROUP, INC","MANN. RESIDENTIAL VINYL","44.51","25.37","19.14","43.00%","44.51","1.00","1"
"MANNINGTON MILLS INC.","MANN. ADURA LUXURY TILE","38.08","26.07","12.01","31.54%","38.08","1.00","1"
"CARPET VILLAGE","BJELIN","0.00","16.17","-16.17","0.00%","0.00","17.11","1"
"FASHION FLRS OF ROANOKE","BJELIN","0.00","16.17","-16.17","0.00%","0.00","17.11","1"
"WOOD PLUS HARDWOOD FLRG","BJELIN","0.00","84.86","-84.86","0.00%","0.00","85.55","5"
