"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","22,671.06","18,691.16","3,979.90","17.55%","2.97","7,638.21","11"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","21,058.07","16,989.19","4,068.88","19.32%","2.36","8,923.70","11"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","20,320.47","14,086.22","6,234.25","30.68%","2.63","7,738.04","19"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","14,971.83","12,319.59","2,652.24","17.71%","2.94","5,098.80","9"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","14,758.47","12,531.67","2,226.80","15.09%","5.60","2,636.70","8"
"PETER SANDFORT LLC","BJELIN","13,848.20","9,991.94","3,856.26","27.85%","4.41","3,141.11","9"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","8,736.97","6,961.83","1,775.14","20.32%","3.52","2,484.43","15"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","7,085.36","5,802.06","1,283.30","18.11%","2.94","2,409.22","7"
"BLUE RIDGE FLOORS INC","MANN. ADURA LUXURY TILE","6,899.10","5,250.78","1,648.32","23.89%","2.68","2,577.00","15"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","6,731.02","5,505.49","1,225.53","18.21%","3.02","2,228.56","11"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","6,084.08","4,732.66","1,351.42","22.21%","3.03","2,010.43","24"
"SPENCER HOME CENTER INC","SOMERSET WOOD","5,750.40","4,224.00","1,526.40","26.54%","5.99","960.00","1"
"FASHION FLRS OF ROANOKE","MANN. ADURA LUXURY TILE","5,442.71","4,369.82","1,072.89","19.71%","3.09","1,760.59","10"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","5,303.36","3,954.54","1,348.82","25.43%","2.75","1,925.21","10"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","5,037.68","4,164.49","873.19","17.33%","3.02","1,667.16","5"
"CENTRAL VA FLOORING","PAD FUTURE FOAM","4,995.00","3,835.50","1,159.50","23.21%","2.22","2,250.00","4"
