"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","22,338.34","19,487.14","2,851.20","12.76%","5.41","4,126.86","6"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","16,975.13","12,843.32","4,131.81","24.34%","2.47","6,882.06","15"
"J W SQUIRE CO","SOMERSET WOOD","13,379.80","11,025.50","2,354.30","17.60%","4.82","2,776.00","8"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","12,323.24","10,084.34","2,238.90","18.17%","2.91","4,234.99","9"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","9,051.38","6,730.07","2,321.31","25.65%","2.63","3,446.56","11"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","8,244.46","6,539.40","1,705.06","20.68%","2.88","2,866.08","19"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","8,101.31","6,593.06","1,508.25","18.62%","2.96","2,735.34","11"
"CENTRAL VA FLOORING","TITEBOND","6,803.40","4,924.80","1,878.60","27.61%","51.54","132.00","4"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","6,476.15","5,172.75","1,303.40","20.13%","2.85","2,270.51","12"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","5,533.66","4,075.15","1,458.51","26.36%","4.35","1,273.20","7"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","5,370.73","4,404.35","966.38","17.99%","2.89","1,858.38","6"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","5,270.56","4,264.11","1,006.45","19.10%","1.99","2,648.52","5"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","5,184.26","4,194.89","989.37","19.08%","3.02","1,717.32","10"
"DESIGNER SOLUTIONS INC","LAUZON WOOD","5,039.64","3,023.58","2,016.06","40.00%","49.41","102.00","2"
"THE FLOOR SHOW INC","MANN. LAMINATE FLOORING","4,498.43","3,683.05","815.38","18.13%","2.38","1,887.89","4"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","4,301.84","3,347.40","954.44","22.19%","3.57","1,206.46","10"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","3,992.40","3,279.00","713.40","17.87%","5.22","765.00","4"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","3,502.50","2,689.20","813.30","23.22%","2.34","1,500.00","4"
"PETER SANDFORT LLC","BJELIN","3,018.98","2,384.05","634.93","21.03%","3.31","912.48","9"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","2,949.23","2,407.79","541.44","18.36%","2.93","1,005.94","4"
"FLOORED LLC","SOMERSET WOOD","2,729.88","2,124.50","605.38","22.18%","4.95","552.00","3"
"FLOOR FASHIONS","RESPONSIVE INDUSTRIES","2,371.71","1,258.73","1,112.98","46.93%","1.79","1,324.98","1"
"CARPET VILLAGE","PAD CARPENTER COMPANY","2,253.00","1,765.80","487.20","21.62%","1.88","1,200.00","4"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","2,247.63","1,791.02","456.61","20.32%","2.86","785.68","4"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","2,143.23","1,742.89","400.34","18.68%","2.99","715.80","3"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","1,853.23","1,478.49","374.74","20.22%","2.69","687.84","5"
"FLOOR FASHIONS","SUREPLY AND REVOLUTIONS","1,685.00","1,353.60","331.40","19.67%","16.85","100.00","1"
"THE HOUSE OF CARPETS INC","MANN. ADURA LUXURY TILE","1,624.71","1,303.39","321.32","19.78%","3.10","523.41","4"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","1,595.28","873.84","721.44","45.22%","2.89","552.00","7"
"BLUE RIDGE FLOORS INC","MANN. ADURA LUXURY TILE","1,518.36","1,199.92","318.44","20.97%","2.82","539.38","7"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","1,509.90","1,141.20","368.70","24.42%","2.29","660.00","5"
