"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"S.J. NEATHAWK LBR CO INC","SOMERSET WOOD","1,317.00","1,050.00","267.00","20.27%","4.39","300.00","2"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","1,303.12","1,058.09","245.03","18.80%","2.45","531.66","3"
"PETER SANDFORT LLC","DIVERSIFIED INDUSTRIES","1,007.64","781.20","226.44","22.47%","27.99","36.00","3"
"SPENCER HOME CENTER INC","RESPONSIVE INDUSTRIES","962.61","735.06","227.55","23.64%","2.69","357.30","2"
"SPENCER HOME CENTER INC","DIVERSIFIED INDUSTRIES","839.70","651.00","188.70","22.47%","27.99","30.00","3"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","839.21","660.30","178.91","21.32%","2.67","314.27","3"
"NEWCOMB CARPET INC","MANN. RESIDENTIAL VINYL","689.24","490.96","198.28","28.77%","2.92","236.04","1"
"BLUE RIDGE FLOORS INC","MANN. LAMINATE FLOORING","671.01","519.76","151.25","22.54%","2.81","238.86","2"
"MILLS FLOOR COVERING LLC","MANN. ADURA LUXURY TILE","650.53","497.52","153.01","23.52%","2.97","219.27","3"
"FLOORED LLC","MANN. RESIDENTIAL VINYL","619.59","400.44","219.15","35.37%","2.74","226.00","2"
"CARPET VILLAGE","SUREPLY AND REVOLUTIONS","593.50","445.00","148.50","25.02%","11.87","50.00","1"
"B & B MACHINE TOOL INC","MANN. ADURA LUXURY TILE","566.60","451.21","115.39","20.37%","3.29","172.22","2"
"THE HOUSE OF CARPETS INC","MANNINGTON ON MAIN","471.51","376.83","94.68","20.08%","2.49","189.36","1"
"FLOORED LLC","SUREPLY AND REVOLUTIONS","469.80","355.20","114.60","24.39%","23.49","20.00","2"
"THE WHITT GROUP, INC","PAD CARPENTER COMPANY","384.00","302.40","81.60","21.25%","1.60","240.00","1"
"CAVALIER CARPETS INC","PAD CARPENTER COMPANY","277.50","222.00","55.50","20.00%","1.85","150.00","1"
"CARPETLAND USA-RKE SOUTH","RESPONSIVE INDUSTRIES","254.82","150.00","104.82","41.13%","84.94","3.00","1"
"J W SQUIRE CO","MANN. ADURA LUXURY TILE","247.32","203.04","44.28","17.90%","2.29","108.00","1"
"BLUE RIDGE FLOORS INC","DIVERSIFIED INDUSTRIES","191.94","130.20","61.74","32.17%","31.99","6.00","2"
"FLOORED LLC","MANN. ADURA LUXURY TILE","179.80","104.28","75.52","42.00%","44.95","4.00","1"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","179.28","144.00","35.28","19.68%","2.49","72.00","1"
"CARPETLAND USA-RKE SOUTH","MANN. RESIDENTIAL VINYL","148.77","120.93","27.84","18.71%","1.71","87.00","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","113.40","75.00","38.40","33.86%","1.89","60.00","1"
"SPENCER HOME CENTER INC","MANN. LAMINATE FLOORING","112.71","86.94","25.77","22.86%","3.22","34.98","2"
"CARPETLAND USA OF","MANN. WOOD","87.52","53.99","33.53","38.31%","87.52","1.00","1"
"BY DESIGN INTERIORS LLC","MANN. ADURA LUXURY TILE","81.04","66.45","14.59","18.00%","2.89","28.04","1"
"THE FLOOR SHOW INC","LAUZON WOOD","59.30","35.58","23.72","40.00%","59.30","1.00","1"
"FLOORED LLC","RESPONSIVE INDUSTRIES","29.98","20.08","9.90","33.02%","14.99","2.00","2"
"S.J. NEATHAWK LBR CO INC","RESPONSIVE INDUSTRIES","29.98","0.00","29.98","100.00%","14.99","2.00","1"
