"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CARPETLAND USA-RKE SOUTH","TITEBOND","440.00","301.25","138.75","31.53%","88.00","5.00","2"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","343.59","239.58","104.01","30.27%","5.85","58.78","2"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","310.80","222.00","88.80","28.57%","2.59","120.00","1"
"FAYETTE AWNING & GLASS","MANN. RESIDENTIAL VINYL","307.68","175.38","132.30","43.00%","153.84","2.00","1"
"SPENCER HOME CENTER INC","MANN. RESIDENTIAL VINYL","248.40","190.80","57.60","23.19%","2.07","120.00","1"
"ELP PROP","RESPONSIVE INDUSTRIES","232.52","180.56","51.96","22.35%","1.79","129.90","2"
"FLOORED LLC","SOMERSET WOOD","228.50","182.50","46.00","20.13%","4.57","50.00","1"
"PETER SANDFORT LLC","RESPONSIVE INDUSTRIES","209.15","169.21","39.94","19.10%","1.99","105.10","2"
"NEWCOMB CARPET INC","MANN. RESIDENTIAL VINYL","200.32","138.70","61.62","30.76%","2.86","69.96","2"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","198.72","133.44","65.28","32.85%","2.07","96.00","1"
"FASHION FLRS OF ROANOKE","RESPONSIVE INDUSTRIES","195.64","132.16","63.48","32.45%","2.77","70.75","2"
"FOUNDERS FLOORING LLC","MANN. ADURA LUXURY TILE","164.88","135.36","29.52","17.90%","2.29","72.00","1"
"THE WHITT GROUP, INC","MANN. RESIDENTIAL VINYL","153.84","87.69","66.15","43.00%","153.84","1.00","1"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","119.52","96.00","23.52","19.68%","2.49","48.00","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","35.40","12.90","22.50","63.56%","0.59","60.00","2"
"FLOORED LLC","MANN. RESIDENTIAL VINYL","25.48","14.52","10.96","43.01%","25.48","1.00","1"
