"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","18,307.39","15,241.24","3,066.15","16.75%","2.96","6,191.44","10"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","17,019.29","14,159.65","2,859.64","16.80%","2.98","5,702.07","10"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","14,473.15","11,620.48","2,852.67","19.71%","2.14","6,755.80","13"
"PETER SANDFORT LLC","BJELIN","13,812.50","10,387.31","3,425.19","24.80%","4.34","3,180.13","5"
"SPENCER HOME CENTER INC","SOMERSET WOOD","11,500.00","9,625.00","1,875.00","16.30%","4.60","2,500.00","5"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","9,208.90","7,692.32","1,516.58","16.47%","5.89","1,563.48","2"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","9,143.37","7,144.65","1,998.72","21.86%","3.30","2,771.02","28"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","9,056.48","6,835.12","2,221.36","24.53%","3.06","2,962.84","19"
"S.J. NEATHAWK LBR CO INC","SOMERSET WOOD","8,184.00","6,847.50","1,336.50","16.33%","4.96","1,650.00","3"
"FLOORED LLC","MANN. ADURA LUXURY TILE","7,565.78","6,050.04","1,515.74","20.03%","3.20","2,366.97","10"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","4,993.26","3,975.92","1,017.34","20.37%","3.03","1,648.58","16"
"SPENCER HOME CENTER INC","MANN. LAMINATE FLOORING","4,389.00","3,696.00","693.00","15.79%","2.28","1,925.00","2"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","4,110.04","3,380.01","730.03","17.76%","2.58","1,591.00","7"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","4,082.80","3,260.43","822.37","20.14%","3.27","1,247.87","15"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","3,844.20","3,053.65","790.55","20.56%","2.40","1,603.18","4"
"CAVALIER CARPETS INC","SOMERSET WOOD","3,712.50","3,176.25","536.25","14.44%","4.50","825.00","2"
"FLOORED LLC","RESPONSIVE INDUSTRIES","3,382.75","2,605.85","776.90","22.97%","2.09","1,618.54","2"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","3,316.50","2,205.00","1,111.50","33.51%","2.46","1,350.00","3"
"CARPET PLUS","MANN. ADURA LUXURY TILE","3,155.89","2,435.04","720.85","22.84%","3.59","879.08","2"
"ELP PROP","SOMERSET WOOD","2,530.00","2,075.00","455.00","17.98%","5.06","500.00","1"
"MILLS FLOOR COVERING LLC","NORTH STAR FLOORING","2,404.48","1,876.50","527.98","21.96%","1.58","1,519.80","2"
"CENTRAL VA FLOORING","MANN. LAMINATE FLOORING","2,376.93","1,969.78","407.15","17.13%","2.48","957.90","2"
"CARPET VILLAGE","PAD CARPENTER COMPANY","2,310.00","1,686.00","624.00","27.01%","1.93","1,200.00","5"
"WOOD PLUS HARDWOOD FLRG","SOMERSET WOOD","1,713.75","1,406.25","307.50","17.94%","4.57","375.00","2"
"FAYETTE AWNING & GLASS","RESPONSIVE INDUSTRIES","1,600.37","1,986.17","-385.80","-24.11%","1.12","1,428.90","1"
"ELP PROP","MANN. ADURA LUXURY TILE","1,287.51","1,034.27","253.24","19.67%","3.09","416.40","4"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","1,245.39","1,000.32","245.07","19.68%","2.49","500.16","3"
"FLOORED LLC","SOMERSET WOOD","1,242.25","1,038.75","203.50","16.38%","4.52","275.00","2"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","1,195.20","960.00","235.20","19.68%","2.49","480.00","3"
