"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"MILLS FLOOR COVERING LLC","RESPONSIVE INDUSTRIES","1,143.27","857.19","286.08","25.02%","2.65","431.84","2"
"CARPETLAND USA-RKE SOUTH","RESPONSIVE INDUSTRIES","1,068.67","720.19","348.48","32.61%","2.68","398.25","2"
"FLOOR FASHIONS","NORTH STAR FLOORING","1,050.80","699.93","350.87","33.39%","2.55","411.51","4"
"FLOOR FASHIONS","RESPONSIVE INDUSTRIES","963.48","651.00","312.48","32.43%","2.59","372.00","1"
"MILLS FLOOR COVERING LLC","PAD FUTURE FOAM","940.50","648.00","292.50","31.10%","2.09","450.00","1"
"CARPETLAND USA OF ROANOKE","RESPONSIVE INDUSTRIES","918.00","618.63","299.37","32.61%","2.78","330.50","3"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","892.67","732.04","160.63","17.99%","2.89","308.88","4"
"1 UNITED CONTRACTING INC","MANN. ADURA LUXURY TILE","850.25","647.43","202.82","23.85%","3.77","225.32","4"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","837.14","663.68","173.46","20.72%","2.63","318.00","5"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","811.02","645.86","165.16","20.36%","3.29","246.51","1"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","803.08","539.26","263.82","32.85%","2.07","387.96","1"
"SPENCER HOME CENTER INC","NORTH STAR FLOORING","739.61","542.91","196.70","26.60%","1.74","423.95","2"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","704.65","543.71","160.94","22.84%","3.59","196.28","2"
"FASHION FLRS OF ROANOKE","MANN. RESIDENTIAL VINYL","543.83","381.05","162.78","29.93%","3.16","172.00","2"
"WHITT CPT & TILE","MANN. RESIDENTIAL VINYL","437.81","336.29","101.52","23.19%","2.07","211.50","2"
"PETER SANDFORT LLC","DIVERSIFIED INDUSTRIES","419.86","303.80","116.06","27.64%","29.99","14.00","2"
"FLOORED LLC","NORTH STAR FLOORING","365.39","256.44","108.95","29.82%","2.50","146.18","2"
"CAVALIER CARPETS INC","PAD CARPENTER COMPANY","313.50","222.00","91.50","29.19%","2.09","150.00","1"
"FLOORED LLC","PAD CARPENTER COMPANY","310.80","208.80","102.00","32.82%","2.59","120.00","1"
"FAYETTE AWNING & GLASS","MANN. RESIDENTIAL VINYL","298.08","228.96","69.12","23.19%","2.07","144.00","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","283.50","187.50","96.00","33.86%","1.89","150.00","1"
"CENTRAL VA FLOORING","DIVERSIFIED INDUSTRIES","223.93","151.90","72.03","32.17%","31.99","7.00","1"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","211.75","138.67","73.08","34.51%","6.25","33.88","7"
"BLUE RIDGE FLOORS INC","DIVERSIFIED INDUSTRIES","191.94","142.50","49.44","25.76%","31.99","6.00","1"
"ELP PROP","MANN. RESIDENTIAL VINYL","178.04","101.49","76.55","43.00%","44.51","4.00","2"
"CARPETLAND USA OF ROANOKE","MANN. RESIDENTIAL VINYL","151.50","104.25","47.25","31.19%","2.02","75.00","1"
"NEWCOMB CARPET INC","PAD CARPENTER COMPANY","125.40","87.60","37.80","30.14%","2.09","60.00","1"
"FASHION FLRS OF ROANOKE","MANN. ADURA LUXURY TILE","119.52","96.00","23.52","19.68%","2.49","48.00","1"
"FLOOR FASHIONS","SOMERSET WOOD","105.25","86.25","19.00","18.05%","4.21","25.00","1"
"CARPETLAND USA OF","MANN. RESIDENTIAL VINYL","89.02","50.75","38.27","42.99%","44.51","2.00","1"
"THE WHITT GROUP, INC","MANN. RESIDENTIAL VINYL","89.02","50.75","38.27","42.99%","44.51","2.00","1"
"NEWCOMB CARPET INC","MANN. RESIDENTIAL VINYL","82.11","62.73","19.38","23.60%","1.61","51.00","1"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","65.78","50.00","15.78","23.99%","32.89","2.00","2"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","44.95","26.07","18.88","42.00%","44.95","1.00","1"
