"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"PETER SANDFORT LLC","DIVERSIFIED INDUSTRIES","3,358.80","2,604.00","754.80","22.47%","27.99","120.00","10"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","3,111.95","2,398.37","713.58","22.93%","3.47","896.51","9"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","3,055.50","2,187.00","868.50","28.42%","2.26","1,350.00","2"
"CENTRAL VA FLOORING","TITEBOND","2,879.64","2,108.88","770.76","26.77%","79.99","36.00","1"
"J W SQUIRE CO","MANN. ADURA LUXURY TILE","2,857.44","2,256.08","601.36","21.05%","3.39","843.20","3"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","2,760.77","2,233.59","527.18","19.10%","1.99","1,387.32","2"
"THE FLOOR SHOW INC","SOMERSET WOOD","2,332.45","1,948.00","384.45","16.48%","5.76","405.00","4"
"BLUE RIDGE FLOORS INC","RESPONSIVE INDUSTRIES","2,075.55","1,466.97","608.58","29.32%","3.22","644.74","5"
"CARPET VILLAGE","PAD CARPENTER COMPANY","1,641.00","1,269.00","372.00","22.67%","2.19","750.00","2"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","1,637.35","1,241.34","396.01","24.19%","1.14","1,430.90","3"
"SPENCER HOME CENTER INC","RESPONSIVE INDUSTRIES","1,600.37","1,557.50","42.87","2.68%","1.12","1,428.90","1"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","1,543.08","1,219.11","323.97","21.00%","3.38","456.36","4"
"FARMVILLE FLOORING LLC","RESPONSIVE INDUSTRIES","1,519.12","1,116.79","402.33","26.48%","2.19","693.66","2"
"CARPETLAND USA-RKE SOUTH","MANN. LAMINATE FLOORING","1,279.52","1,063.99","215.53","16.84%","2.50","511.28","2"
"S.J. NEATHAWK LBR CO INC","SUREPLY AND REVOLUTIONS","1,235.00","994.00","241.00","19.51%","24.70","50.00","1"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","1,199.27","955.04","244.23","20.36%","3.29","364.52","3"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","1,195.20","960.00","235.20","19.68%","2.49","480.00","2"
"THE CPT SHOP OF ROANOKE","MANN. ADURA LUXURY TILE","1,184.40","856.80","327.60","27.66%","3.29","360.00","1"
"FLOORED LLC","SUREPLY AND REVOLUTIONS","1,161.00","880.00","281.00","24.20%","23.22","50.00","1"
"SPENCER HOME CENTER INC","SUREPLY AND REVOLUTIONS","1,161.00","880.00","281.00","24.20%","23.22","50.00","1"
"CARPET PLUS","MANN. ADURA LUXURY TILE","1,107.02","881.58","225.44","20.36%","3.29","336.48","1"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","1,042.50","751.80","290.70","27.88%","2.32","450.00","4"
"CARPETLAND USA OF ROANOKE","SOMERSET WOOD","914.00","747.50","166.50","18.22%","4.57","200.00","2"
"FASHION FLRS OF ROANOKE","MANN. ADURA LUXURY TILE","839.70","132.45","707.25","84.23%","3.72","225.52","4"
"NEWCOMB CARPET INC","MANN. ADURA LUXURY TILE","824.40","676.80","147.60","17.90%","2.29","360.00","1"
"CARPET VILLAGE","PAD FUTURE FOAM","801.00","603.00","198.00","24.72%","1.78","450.00","1"
"THE WHITT GROUP, INC","PAD CARPENTER COMPANY","800.40","636.60","163.80","20.46%","1.91","420.00","3"
"CARPET VILLAGE","MANN. ADURA LUXURY TILE","630.79","502.33","128.46","20.36%","3.29","191.73","1"
"ELP PROP","MANN. ADURA LUXURY TILE","628.43","497.88","130.55","20.77%","2.61","241.00","2"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","591.23","349.42","241.81","40.90%","73.90","8.00","3"
"ELP PROP","PAD FUTURE FOAM","567.00","375.00","192.00","33.86%","1.89","300.00","1"
"CENTRAL VA FLOORING","DIVERSIFIED INDUSTRIES","562.80","383.25","179.55","31.90%","28.14","20.00","4"
"THE HOUSE OF CARPETS INC","PAD FUTURE FOAM","555.00","432.00","123.00","22.16%","1.85","300.00","1"
"FLOORED LLC","MANN. ADURA LUXURY TILE","551.16","419.47","131.69","23.89%","3.88","142.20","3"
"B & H FLOORS LLC","MANN. WOOD","542.49","416.58","125.91","23.21%","3.49","155.44","1"
"CENTRAL VA FLOORING","NORTH STAR FLOORING","541.80","436.80","105.00","19.38%","1.29","420.00","1"
"MANNINGTON MILLS INC.","MANN. ADURA LUXURY TILE","531.11","441.25","89.86","16.92%","4.61","115.21","4"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","519.89","415.56","104.33","20.07%","3.14","165.34","2"
"BY DESIGN INTERIORS LLC","MANN. ADURA LUXURY TILE","494.64","404.64","90.00","18.20%","2.29","216.00","2"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","360.45","287.04","73.41","20.37%","3.29","109.56","1"
"WOOD PLUS HARDWOOD FLRG","TITEBOND","324.00","159.72","164.28","50.70%","27.00","12.00","1"
"FARMVILLE FLOORING LLC","PAD FUTURE FOAM","310.50","242.10","68.40","22.03%","1.73","180.00","2"
"CARPETLAND USA-RKE SOUTH","MANN. RESIDENTIAL VINYL","290.88","228.96","61.92","21.29%","2.02","144.00","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","283.50","187.50","96.00","33.86%","1.89","150.00","1"
"FLOOR FASHIONS","MANNINGTON ON MAIN","249.37","199.30","50.07","20.08%","2.49","100.15","1"
"FLOOR FASHIONS","TITEBOND","236.36","170.18","66.18","28.00%","118.18","2.00","1"
"THE WHITT GROUP, INC","RESPONSIVE INDUSTRIES","111.14","81.38","29.76","26.78%","2.39","46.50","1"
"CARPETLAND USA-RKE SOUTH","DIVERSIFIED INDUSTRIES","104.95","72.25","32.70","31.16%","20.99","5.00","2"
"BY DESIGN INTERIORS LLC","MANN. RESIDENTIAL VINYL","89.02","50.75","38.27","42.99%","44.51","2.00","1"
"CARPETLAND USA OF ROANOKE","MANN. RESIDENTIAL VINYL","89.02","50.75","38.27","42.99%","44.51","2.00","1"
"THE FLOOR SHOW INC","RESPONSIVE INDUSTRIES","61.85","46.57","15.28","24.70%","2.59","23.88","1"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","25.48","14.52","10.96","43.01%","25.48","1.00","1"
