"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","18,017.69","14,482.70","3,534.99","19.62%","3.10","5,818.62","12"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","12,499.47","10,243.32","2,256.15","18.05%","2.90","4,312.08","9"
"CAVALIER CARPETS INC","SOMERSET WOOD","8,531.00","7,145.00","1,386.00","16.25%","4.49","1,900.00","4"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","7,951.35","6,412.06","1,539.29","19.36%","3.05","2,606.59","19"
"PETER SANDFORT LLC","BJELIN","7,143.58","5,143.81","1,999.77","27.99%","4.31","1,658.35","4"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","6,728.75","5,309.13","1,419.62","21.10%","3.06","2,198.47","30"
"FLOOR FASHIONS","SOMERSET WOOD","6,058.30","5,034.00","1,024.30","16.91%","5.72","1,060.00","3"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","5,461.51","4,474.24","987.27","18.08%","2.77","1,969.10","6"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","4,719.54","3,911.85","807.69","17.11%","1.95","2,419.30","4"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","4,495.43","3,590.42","905.01","20.13%","2.58","1,740.18","10"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","4,274.41","3,181.11","1,093.30","25.58%","5.67","753.54","3"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","3,825.89","2,998.75","827.14","21.62%","4.63","826.00","4"
"S.J. NEATHAWK LBR CO INC","RESPONSIVE INDUSTRIES","3,686.56","3,115.00","571.56","15.50%","1.29","2,857.80","2"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","3,389.79","2,699.49","690.30","20.36%","3.29","1,030.33","5"
