"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"FLOORED LLC","MANN. ADURA LUXURY TILE","3,713.67","2,970.62","743.05","20.01%","2.55","1,457.15","13"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","3,495.83","2,701.76","794.07","22.71%","2.08","1,684.20","5"
"CARPETS BY WORLEY","MANN. ADURA LUXURY TILE","3,049.64","2,500.92","548.72","17.99%","2.89","1,055.24","2"
"J W SQUIRE CO","MANN. ADURA LUXURY TILE","2,794.29","2,444.68","349.61","12.51%","2.38","1,175.96","5"
"S.J. NEATHAWK LBR CO INC","SUREPLY AND REVOLUTIONS","2,505.00","1,988.00","517.00","20.64%","25.05","100.00","2"
"CARPET VILLAGE","PAD CARPENTER COMPANY","2,388.00","1,656.00","732.00","30.65%","1.99","1,200.00","5"
"BLUE RIDGE FLOORS INC","SOMERSET WOOD","2,379.38","1,946.00","433.38","18.21%","4.94","482.00","2"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","2,110.67","1,680.83","429.84","20.37%","3.29","641.54","4"
"BY DESIGN INTERIORS LLC","BJELIN","2,092.45","1,541.29","551.16","26.34%","4.29","487.75","1"
"MILLS FLOOR COVERING LLC","RESPONSIVE INDUSTRIES","2,030.58","1,436.65","593.93","29.25%","3.16","641.74","3"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","1,982.54","1,514.03","468.51","23.63%","3.46","572.37","6"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","1,709.40","1,145.40","564.00","32.99%","2.59","660.00","3"
"CAVALIER CARPETS INC","MANN. ADURA LUXURY TILE","1,666.77","1,298.17","368.60","22.11%","3.56","468.63","3"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","1,641.64","1,393.75","247.89","15.10%","4.37","376.00","2"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","1,574.46","1,275.60","298.86","18.98%","2.41","654.00","5"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","1,418.64","895.44","523.20","36.88%","2.04","696.00","5"
"CARPETLAND USA-RKE SOUTH","MANN. LAMINATE FLOORING","1,276.97","1,046.47","230.50","18.05%","2.51","509.50","3"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","1,271.40","1,001.00","270.40","21.27%","4.89","260.00","1"
"PETER SANDFORT LLC","RESPONSIVE INDUSTRIES","1,219.61","927.52","292.09","23.95%","2.38","512.44","1"
"CARPETLAND USA-RKE SOUTH","MANN. RESIDENTIAL VINYL","1,106.81","840.83","265.98","24.03%","1.98","559.00","3"
"SPENCER HOME CENTER INC","RESPONSIVE INDUSTRIES","1,094.03","782.06","311.97","28.52%","2.83","386.94","3"
"J W SQUIRE CO","PAD CARPENTER COMPANY","940.50","637.20","303.30","32.25%","2.09","450.00","4"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","845.40","599.89","245.51","29.04%","2.96","286.08","2"
"CENTRAL VA FLOORING","NORTH STAR FLOORING","826.26","602.04","224.22","27.14%","1.73","477.00","2"
"B & B MACHINE TOOL INC","BURKE-MERCER","790.00","590.00","200.00","25.32%","0.79","1,000.00","1"
"CENTRAL VA FLOORING","MANNINGTON ON MAIN","645.60","477.60","168.00","26.02%","2.69","240.00","1"
"CARPETLAND USA-RKE SOUTH","MANNINGTON ON MAIN","589.39","471.03","118.36","20.08%","2.49","236.70","1"
"CARPET PLUS","MANN. ADURA LUXURY TILE","588.62","454.17","134.45","22.84%","3.59","163.96","3"
"NEWCOMB CARPET INC","MANN. RESIDENTIAL VINYL","586.92","418.08","168.84","28.77%","2.92","201.00","1"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","545.92","388.88","157.04","28.77%","2.92","186.96","2"
"FLOOR FASHIONS","MANNINGTON ON MAIN","530.44","423.93","106.51","20.08%","2.49","213.03","1"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","414.87","320.76","94.11","22.68%","2.86","145.18","2"
"CARPETS BY WORLEY","MANN. RESIDENTIAL VINYL","354.66","271.62","83.04","23.41%","1.79","198.00","2"
"CENTRAL VA FLOORING","TITEBOND","351.84","257.76","94.08","26.74%","21.99","16.00","1"
"CARPETLAND USA OF","MANNINGTON ON MAIN","349.13","279.02","70.11","20.08%","2.49","140.21","2"
"FLOORED LLC","PAD CARPENTER COMPANY","340.20","230.40","109.80","32.28%","1.89","180.00","1"
"1 UNITED CONTRACTING INC","MANN. ADURA LUXURY TILE","329.76","270.72","59.04","17.90%","2.29","144.00","1"
"CARPETLAND USA OF","MANN. LAMINATE FLOORING","322.88","193.92","128.96","39.94%","10.09","32.00","1"
"CENTRAL VA FLOORING","MANN. RESIDENTIAL VINYL","315.36","224.64","90.72","28.77%","2.92","108.00","1"
"FARMVILLE FLOORING LLC","PAD FUTURE FOAM","313.50","216.00","97.50","31.10%","2.09","150.00","1"
"CARPETLAND USA OF ROANOKE","MANNINGTON ON MAIN","269.00","199.00","70.00","26.02%","2.69","100.00","1"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","235.66","136.68","98.98","42.00%","47.13","5.00","4"
"WOOD PLUS HARDWOOD FLRG","SOMERSET WOOD","235.00","187.50","47.50","20.21%","4.70","50.00","1"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","225.18","169.59","55.59","24.69%","4.04","55.78","2"
"FASHION FLRS OF ROANOKE","MANN. RESIDENTIAL VINYL","219.71","150.17","69.54","31.65%","3.60","61.00","2"
"THE FLOOR SHOW INC","RESPONSIVE INDUSTRIES","197.91","150.03","47.88","24.19%","21.99","9.00","2"
"FASHION FLRS OF ROANOKE","MANN. ADURA LUXURY TILE","164.88","135.36","29.52","17.90%","2.29","72.00","1"
"CARPETLAND USA-RKE SOUTH","DIVERSIFIED INDUSTRIES","159.95","108.50","51.45","32.17%","31.99","5.00","1"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","150.50","114.00","36.50","24.25%","3.07","49.06","2"
"MILLS FLOOR COVERING LLC","MANN. ADURA LUXURY TILE","145.76","84.54","61.22","42.00%","48.59","3.00","2"
"J W SQUIRE CO","MANN. RESIDENTIAL VINYL","133.53","76.12","57.41","42.99%","44.51","3.00","1"
"DESIGNER SOLUTIONS INC","PAD CARPENTER COMPANY","125.40","87.60","37.80","30.14%","2.09","60.00","1"
"MILLS FLOOR COVERING LLC","PAD FUTURE FOAM","125.40","86.40","39.00","31.10%","2.09","60.00","1"
"B & B MACHINE TOOL INC","MANN. RUBBER","102.15","76.65","25.50","24.96%","6.81","15.00","1"
"FLOOR FASHIONS","MANN. LAMINATE FLOORING","91.41","71.36","20.05","21.93%","2.69","33.98","1"
"FLOORED LLC","SOMERSET WOOD","80.00","50.00","30.00","37.50%","40.00","2.00","1"
"DESIGNER SOLUTIONS INC","MANN. LAMINATE FLOORING","66.58","43.28","23.30","35.00%","33.29","2.00","1"
"PETER SANDFORT LLC","DIVERSIFIED INDUSTRIES","63.98","43.40","20.58","32.17%","31.99","2.00","1"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","44.95","26.07","18.88","42.00%","44.95","1.00","1"
"CARPETLAND USA OF ROANOKE","SOMERSET WOOD","32.89","25.00","7.89","23.99%","32.89","1.00","1"
"CARPETLAND USA OF","MANN. RESIDENTIAL VINYL","-51.45","0.00","-51.45","-100.00%","0.00","0.00","2"
