"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","24,992.13","20,118.27","4,873.86","19.50%","2.09","11,952.10","20"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","16,472.50","14,100.11","2,372.39","14.40%","1.84","8,950.38","17"
"PETER SANDFORT LLC","BJELIN","15,385.00","11,331.60","4,053.40","26.35%","4.31","3,570.33","5"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","13,113.52","10,168.48","2,945.04","22.46%","2.95","4,443.80","31"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","11,339.71","8,975.73","2,363.98","20.85%","2.92","3,879.05","15"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","10,129.57","8,181.84","1,947.73","19.23%","2.79","3,628.65","15"
"B & B MACHINE TOOL INC","MANN. ADURA LUXURY TILE","8,972.26","7,320.45","1,651.81","18.41%","2.39","3,754.08","4"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","8,220.00","5,430.00","2,790.00","33.94%","2.74","3,000.00","5"
"MILLS FLOOR COVERING LLC","SOMERSET WOOD","7,969.50","6,536.25","1,433.25","17.98%","5.06","1,575.00","2"
"MANNINGTON MILLS INC.","MANN. ADURA LUXURY TILE","7,374.91","5,764.03","1,610.88","21.84%","4.32","1,708.84","8"
"CARPETLAND USA-RKE SOUTH","RESPONSIVE INDUSTRIES","7,212.50","5,064.43","2,148.07","29.78%","3.61","1,999.38","11"
"FLOOR FASHIONS","BJELIN","5,731.25","4,108.03","1,623.22","28.32%","4.59","1,248.64","2"
"FAYETTE AWNING & GLASS","RESPONSIVE INDUSTRIES","5,334.48","4,409.18","925.30","17.35%","1.08","4,931.22","4"
"ELP PROP","MANN. ADURA LUXURY TILE","5,305.79","4,245.77","1,060.02","19.98%","2.53","2,095.22","8"
"THE CPT SHOP OF ROANOKE","MANN. ADURA LUXURY TILE","5,244.68","3,711.92","1,532.76","29.23%","5.32","985.16","5"
"CARPETLAND USA OF","MANN. WOOD","5,206.74","4,231.33","975.41","18.73%","3.79","1,373.81","1"
"THE HOUSE OF CARPETS INC","MANN. ADURA LUXURY TILE","5,161.80","4,152.50","1,009.30","19.55%","2.91","1,775.17","9"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","4,880.51","3,905.09","975.42","19.99%","2.77","1,758.83","11"
"BY DESIGN INTERIORS LLC","MANN. ADURA LUXURY TILE","3,760.56","2,999.88","760.68","20.23%","2.55","1,476.12","4"
