"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","34,374.81","28,838.03","5,536.78","16.11%","2.71","12,696.56","54"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","10,986.40","9,183.12","1,803.28","16.41%","1.64","6,686.90","9"
"FAYETTE AWNING & GLASS","RESPONSIVE INDUSTRIES","9,968.70","8,154.32","1,814.38","18.20%","1.56","6,382.26","7"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","9,865.68","7,331.87","2,533.81","25.68%","3.43","2,879.00","8"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","9,173.35","7,576.20","1,597.15","17.41%","2.92","3,140.87","6"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","8,992.66","6,777.55","2,215.11","24.63%","3.78","2,377.19","10"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","8,846.93","7,310.11","1,536.82","17.37%","2.91","3,044.55","6"
"PETER SANDFORT LLC","BJELIN","7,449.11","5,632.53","1,816.58","24.39%","4.29","1,736.39","4"
"FLOORED LLC","MANN. ADURA LUXURY TILE","7,246.99","5,971.27","1,275.72","17.60%","2.63","2,760.75","8"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","6,888.31","5,551.12","1,337.19","19.41%","2.78","2,479.76","17"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","6,838.22","5,239.36","1,598.86","23.38%","3.70","1,846.13","6"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","6,711.81","5,501.95","1,209.86","18.03%","1.97","3,407.24","10"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","5,981.19","4,798.46","1,182.73","19.77%","2.16","2,762.92","4"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","5,980.03","4,879.09","1,100.94","18.41%","2.39","2,502.10","3"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","5,961.40","4,737.79","1,223.61","20.53%","2.58","2,309.92","11"
