"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"SPENCER HOME CENTER INC","DIVERSIFIED INDUSTRIES","719.76","520.80","198.96","27.64%","29.99","24.00","2"
"CARPETLAND USA OF","PAD CARPENTER COMPANY","639.90","522.00","117.90","18.42%","2.13","300.00","1"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","567.00","375.00","192.00","33.86%","1.89","300.00","1"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","554.88","424.32","130.56","23.53%","2.89","192.00","1"
"NEWCOMB CARPET INC","MANN. RESIDENTIAL VINYL","546.48","419.76","126.72","23.19%","2.07","264.00","1"
"J W SQUIRE CO","PAD FUTURE FOAM","539.10","380.70","158.40","29.38%","5.99","90.00","1"
"CARPETLAND USA-RKE SOUTH","RESPONSIVE INDUSTRIES","481.74","325.50","156.24","32.43%","2.59","186.00","1"
"FASHION FLRS OF ROANOKE","PAD CARPENTER COMPANY","480.00","384.00","96.00","20.00%","1.60","300.00","1"
"BLUE RIDGE FLOORS INC","MANN. RESIDENTIAL VINYL","464.28","290.88","173.40","37.35%","6.73","68.96","3"
"FASHION FLRS OF ROANOKE","MANN. ADURA LUXURY TILE","463.68","375.36","88.32","19.05%","2.42","192.00","2"
"THE WHITT GROUP, INC","MANN. RESIDENTIAL VINYL","461.52","263.07","198.45","43.00%","153.84","3.00","1"
"FLOOR FASHIONS","MANN. ADURA LUXURY TILE","454.63","327.25","127.38","28.02%","4.03","112.86","4"
"J W SQUIRE CO","PAD CARPENTER COMPANY","438.90","310.80","128.10","29.19%","2.09","210.00","1"
"FARMVILLE FLOORING LLC","PAD CARPENTER COMPANY","403.20","313.20","90.00","22.32%","2.24","180.00","2"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","388.50","261.00","127.50","32.82%","2.59","150.00","1"
"BY DESIGN INTERIORS LLC","MANN. ADURA LUXURY TILE","369.09","291.89","77.20","20.92%","3.26","113.16","2"
"BY DESIGN INTERIORS LLC","PAD FUTURE FOAM","359.40","253.80","105.60","29.38%","5.99","60.00","1"
"ELP PROP","MANN. RESIDENTIAL VINYL","339.36","233.52","105.84","31.19%","2.02","168.00","1"
"CAVALIER CARPETS INC","PAD CARPENTER COMPANY","313.50","222.00","91.50","29.19%","2.09","150.00","1"
"FARMVILLE FLOORING LLC","PAD FUTURE FOAM","313.50","216.00","97.50","31.10%","2.09","150.00","1"
"CARPETLAND USA OF ROANOKE","MANN. RESIDENTIAL VINYL","290.88","200.16","90.72","31.19%","2.02","144.00","1"
"CENTRAL VA FLOORING","MANN. RESIDENTIAL VINYL","280.32","199.68","80.64","28.77%","2.92","96.00","1"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","247.00","202.50","44.50","18.02%","4.94","50.00","1"
"SPENCER HOME CENTER INC","NORTH STAR FLOORING","172.30","157.64","14.66","8.51%","2.39","72.09","3"
"THE WHITT GROUP, INC","PAD FUTURE FOAM","170.10","112.50","57.60","33.86%","1.89","90.00","1"
"WOOD PLUS HARDWOOD FLRG","BJELIN","126.18","81.06","45.12","35.76%","42.06","3.00","2"
"FLOORED LLC","RESPONSIVE INDUSTRIES","120.28","88.24","32.04","26.64%","2.59","46.44","1"
"THE WHITT GROUP, INC","DIVERSIFIED INDUSTRIES","101.97","71.25","30.72","30.13%","33.99","3.00","1"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","96.60","73.80","22.80","23.60%","1.61","60.00","1"
"CENTRAL VA FLOORING","DIVERSIFIED INDUSTRIES","83.96","57.80","26.16","31.16%","20.99","4.00","2"
"FLOOR FASHIONS","NORTH STAR FLOORING","57.43","39.41","18.02","31.38%","2.39","24.03","1"
"DESIGNER SOLUTIONS INC","MANN. ADURA LUXURY TILE","44.95","26.07","18.88","42.00%","44.95","1.00","1"
"FASHION FLRS OF ROANOKE","MANN. RESIDENTIAL VINYL","44.51","25.37","19.14","43.00%","44.51","1.00","1"
"MILLS FLOOR COVERING LLC","MANN. ADURA LUXURY TILE","37.34","21.66","15.68","41.99%","37.34","1.00","1"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","37.34","21.66","15.68","41.99%","37.34","1.00","1"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","14.99","10.10","4.89","32.62%","14.99","1.00","1"
