"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","22,655.17","14,050.02","8,605.15","37.98%","2.19","10,367.79","27"
"PETER SANDFORT LLC","BJELIN","20,618.81","15,047.34","5,571.47","27.02%","4.38","4,704.91","13"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","19,809.89","16,547.44","3,262.45","16.47%","5.89","3,363.30","5"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","16,115.05","12,428.09","3,686.96","22.88%","3.27","4,931.45","24"
"DESIGNER SOLUTIONS INC","LAUZON WOOD","15,087.33","12,529.17","2,558.16","16.96%","5.19","2,907.00","4"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","14,314.02","9,516.74","4,797.28","33.51%","3.06","4,671.01","29"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","11,677.89","9,390.17","2,287.72","19.59%","2.11","5,522.90","10"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","11,239.54","8,720.99","2,518.55","22.41%","2.81","3,993.23","16"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","9,124.85","7,230.83","1,894.02","20.76%","2.93","3,118.39","9"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","8,383.16","6,823.44","1,559.72","18.61%","2.37","3,544.56","5"
"DESIGNER SOLUTIONS INC","MANN. LAMINATE FLOORING","7,861.54","6,137.25","1,724.29","21.93%","2.69","2,922.50","4"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","7,207.77","5,369.13","1,838.64","25.51%","2.81","2,564.08","8"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","7,146.55","5,223.63","1,922.92","26.91%","2.89","2,473.94","10"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","6,779.51","5,561.91","1,217.60","17.96%","2.90","2,340.58","6"
"FLOOR FASHIONS","RESPONSIVE INDUSTRIES","5,948.84","4,646.81","1,302.03","21.89%","2.49","2,385.36","4"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","5,761.03","4,260.06","1,500.97","26.05%","3.01","1,911.00","8"
"CARPET VILLAGE","PAD CARPENTER COMPANY","5,181.00","3,888.00","1,293.00","24.96%","2.16","2,400.00","6"
"BLUE RIDGE FLOORS INC","MANN. ADURA LUXURY TILE","5,082.01","3,758.18","1,323.83","26.05%","1.04","4,885.09","8"
"ELP PROP","MANN. ADURA LUXURY TILE","4,535.79","3,233.14","1,302.65","28.72%","3.22","1,408.84","7"
"FLOORED LLC","MANN. ADURA LUXURY TILE","4,052.48","2,948.29","1,104.19","27.25%","3.16","1,282.04","10"
"MILLS FLOOR COVERING LLC","NORTH STAR FLOORING","3,612.00","2,912.00","700.00","19.38%","1.29","2,800.00","2"
"FLOOR FASHIONS","BJELIN","3,341.58","2,143.88","1,197.70","35.84%","2.79","1,197.70","2"
"FASHION FLRS OF ROANOKE","RESPONSIVE INDUSTRIES","2,965.04","2,178.47","786.57","26.53%","2.26","1,309.24","6"
"CARPET PLUS","MANN. ADURA LUXURY TILE","2,697.24","2,081.15","616.09","22.84%","3.59","751.32","4"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","2,516.08","2,034.93","481.15","19.12%","2.75","914.22","3"
"FARMVILLE FLOORING LLC","RESPONSIVE INDUSTRIES","1,942.60","1,374.92","567.68","29.22%","3.15","617.12","3"
"FAYETTE AWNING & GLASS","RESPONSIVE INDUSTRIES","1,609.46","1,110.65","498.81","30.99%","1.13","1,428.90","2"
"1 UNITED CONTRACTING INC","MANN. ADURA LUXURY TILE","1,589.30","1,201.29","388.01","24.41%","2.99","531.54","1"
"CARPETLAND USA OF","MANN. RESIDENTIAL VINYL","1,544.58","1,103.22","441.36","28.57%","2.57","601.63","6"
"J W SQUIRE CO","SOMERSET WOOD","1,354.50","1,110.00","244.50","18.05%","4.52","300.00","2"
"FASHION FLRS OF ROANOKE","PAD FUTURE FOAM","1,327.50","937.50","390.00","29.38%","1.77","750.00","2"
"FLOOR FASHIONS","MANN. RESIDENTIAL VINYL","1,297.20","995.04","302.16","23.29%","1.93","672.00","3"
"NEWCOMB CARPET INC","PAD FUTURE FOAM","1,254.00","864.00","390.00","31.10%","2.09","600.00","1"
"THE FLOOR SHOW INC","RESPONSIVE INDUSTRIES","1,156.78","848.96","307.82","26.61%","2.28","507.48","4"
"FLOORED LLC","PAD CARPENTER COMPANY","1,152.00","906.00","246.00","21.35%","1.92","600.00","2"
"WOOD PLUS HARDWOOD FLRG","SOMERSET WOOD","1,148.39","919.75","228.64","19.91%","5.01","229.00","4"
"WHITT CPT & TILE","SOMERSET WOOD","1,138.50","933.75","204.75","17.98%","5.06","225.00","1"
"THE CPT SHOP OF ROANOKE","MANN. ADURA LUXURY TILE","1,028.25","784.77","243.48","23.68%","3.74","274.90","2"
"FLOOR FASHIONS","DIVERSIFIED INDUSTRIES","999.50","722.50","277.00","27.71%","19.99","50.00","5"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","901.13","717.62","183.51","20.36%","3.29","273.90","1"
"CARPETLAND USA-RKE SOUTH","MANN. RESIDENTIAL VINYL","855.31","611.84","243.47","28.47%","2.55","335.00","7"
"CARPET VILLAGE","PAD FUTURE FOAM","840.00","603.00","237.00","28.21%","1.87","450.00","2"
"DESIGNER SOLUTIONS INC","DIVERSIFIED INDUSTRIES","811.71","629.30","182.41","22.47%","27.99","29.00","3"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","771.14","550.25","220.89","28.64%","5.14","150.10","4"
"THE WHITT GROUP, INC","PAD CARPENTER COMPANY","769.50","525.00","244.50","31.77%","2.33","330.00","4"
